# Grandfather-Baseline fuer das Triage-Log-Bindungs-Gate (tests/test_triage_log_bindung.py).
#
# HERKUNFT: Historische Triage (vor 2026-07-16) loggte nur abweichung-Items in den
#   entscheidungs_log; annahme/norm_teil-Items blieben ohne maschinenlesbare
#   Autorisierungs-Bindung. Entdeckt im N1-Nachlauf 2026-07-16 (Paket 7, KStG-Zinsschranke).
# STAND: 369 ungebundene auth-Items (nicht_echt/nicht_material/bedingung_neu)
#   zum Zeitpunkt der Baseline-Erstellung. Bindung gueltig = entscheidungs_log-Eintrag mit
#   nicht-leerem entschieden_via (adjudikation-*, bulk-triage-*, batch*-triage, msg*, ... alle echt).
# SCHRUMPF-REGEL: Diese Datei darf NUR SCHRUMPFEN. Ein Eintrag ist zu entfernen, sobald sein
#   Item echt gebunden wird (chargenweiser 369-Backfill = Backlog) ODER das Item nicht mehr
#   existiert. Der Gate ERZWINGT das: stale/gebundene Baseline-Eintraege => FAIL. Neue
#   ungebundene auth-Items duerfen NICHT hinzugefuegt werden (Ratsche); ein Wachstum ist nur
#   ueber einen sichtbaren Commit-Diff moeglich und im Review zu begruenden.
# FORMAT: <rule_id>\t<schluessel-json>  (eine Zeile je grandfathered Item)
estr_4_6_uebergangsgewinn_verteilung	["annahme", "betrifft_kat", "jahresbetrag", "rundung"]
estr_4_6_uebergangsgewinn_verteilung	["annahme", "betrifft_kat", "uebergangsgewinn", "einheit"]
estr_4_6_uebergangsgewinn_verteilung	["annahme", "betrifft_kat", "uebergangsgewinn", "interpretation"]
estr_4_6_uebergangsgewinn_verteilung	["annahme", "betrifft_kat", "verteilungsjahre", "geltungsvoraussetzung"]
estr_4_6_uebergangsgewinn_verteilung	["annahme", "betrifft_kat", "verteilungsjahre", "interpretation"]
estr_4_6_uebergangsgewinn_verteilung	["norm_teil", "ref", "r 4.6 s. 2 estr"]
p101_mobilitaetspraemie	["annahme", "betrifft_kat", "entfernungspauschale_ab_21km", "einheit"]
p101_mobilitaetspraemie	["annahme", "betrifft_kat", "entfernungspauschale_ab_21km", "interpretation"]
p101_mobilitaetspraemie	["annahme", "betrifft_kat", "grundfreibetrag", "geltungsvoraussetzung"]
p101_mobilitaetspraemie	["annahme", "betrifft_kat", "grundfreibetrag", "interpretation"]
p101_mobilitaetspraemie	["annahme", "betrifft_kat", "zu_versteuerndes_einkommen", "geltungsvoraussetzung"]
p101_mobilitaetspraemie	["annahme", "betrifft_kat", "zu_versteuerndes_einkommen", "interpretation"]
p10_1_5_kinderbetreuung	["annahme", "betrifft_kat", "aufwendungen", "einheit"]
p10_1_5_kinderbetreuung	["annahme", "betrifft_kat", "aufwendungen", "geltungsvoraussetzung"]
p10_1_5_kinderbetreuung	["annahme", "betrifft_kat", "aufwendungen", "interpretation"]
p10_1_5_kinderbetreuung	["annahme", "betrifft_kat", "ergebnis", "einheit"]
p10_1_7_berufsausbildung	["annahme", "betrifft_kat", "aufwendungen", "geltungsvoraussetzung"]
p10_1_7_berufsausbildung	["annahme", "betrifft_kat", "aufwendungen", "interpretation"]
p10_1_7_berufsausbildung	["annahme", "betrifft_kat", "aufwendungen", "zeitbezug"]
p10_1a_realsplitting	["annahme", "betrifft_kat", "ergebnis", "einheit"]
p10_1a_realsplitting	["annahme", "betrifft_kat", "ergebnis", "zeitbezug"]
p10_1a_realsplitting	["annahme", "betrifft_kat", "kv_pv_beitraege", "interpretation"]
p10_1a_realsplitting	["annahme", "betrifft_kat", "kv_pv_beitraege", "zeitbezug"]
p10_1a_realsplitting	["annahme", "betrifft_kat", "unterhaltsleistungen", "geltungsvoraussetzung"]
p10_1a_realsplitting	["norm_teil", "ref", "§ 10 abs. 1a nr. 1 s. 2 estg"]
p10a_guenstigerpruefung	["abweichung", "abweichung_text", "die ausgabe berechnet die differenz statt die erhoehung der tariflichen einkommensteuer um den zulageanspruch."]
p10a_guenstigerpruefung	["annahme", "betrifft_kat", "est_mit_sonderausgabenabzug", "interpretation"]
p10a_guenstigerpruefung	["annahme", "betrifft_kat", "est_ohne_sonderausgabenabzug", "interpretation"]
p10a_guenstigerpruefung	["annahme", "betrifft_kat", "zulageanspruch_guenstigerpruefung", "interpretation"]
p10a_guenstigerpruefung	["norm_teil", "ref", "§ 10a abs. 2 s. 2"]
